text,size,group
3-D Man,12,3
Absorbing Man,68,3
Abyss,8,4
Adam Warlock,136,0
Agents of Atlas,32,3
Alicia Masters,41,0
Alpha Flight,193,0
Amadeus Cho,89,0
Amiko,12,4
Ancient One,25,0
Annihilus,51,0
Apocalypse,94,4
Arachne,6,1
Arcade,29,4
Archangel,559,0
Arclight,14,4
Ares,55,3
Armory,2,3
Aurora,67,4
Avalanche,40,4
Avengers,1456,1
Banshee,177,4
Baron Strucker,41,0
Bastion,34,4
Beast,776,4
Ben Grimm,35,0
Ben Urich,38,1
Beta-Ray Bill,32,0
Betty Brant,23,1
Bishop,269,4
Black Bolt,139,0
Black Cat,130,1
Black Panther,524,3
Black Tarantula,20,1
Black Tom,13,4
Black Widow,447,3
Blade,51,0
Blastaar,31,4
Blink,50,4
Blob,75,4
Blockbuster,12,4
Blue Marvel,24,0
Boomer,57,4
Boomerang,23,1
Brood,40,4
Brother Voodoo,5,3
Brute,9,0
Bullseye,91,0
Cable,355,0
Caliban,70,4
Callisto,33,4
Calypso,6,1
Cammi,4,3
Cannonball,271,0
Captain America,2056,1
Captain Britain,134,0
Captain Universe,20,1
Carlie Cooper,69,1
Carmella Unuscione,11,4
Carnage,62,1
Carol Danvers,15,0
Cecilia Reyes,22,4
Celestials,15,4
Cerebro,7,4
Ch'od,39,4
Chamber,42,4
Chameleon,38,1
Clea,73,0
Cloak,78,1
Cloud 9,17,3
Colleen Wing,57,0
Colossus,651,4
Constrictor,33,0
Crimson Dynamo,34,3
Crossbones,46,0
Crystal,106,3
Curt Conners,18,1
Cyclops,897,4
Dagger,73,1
Daily Bugle,2,1
Daimon Hellstrom,39,0
Daken,72,0
Daredevil,954,3
Dark Avengers,56,3
Dark Beast,10,4
Dark Phoenix,19,4
Dark X-Men,7,4
Darkhawk,25,1
Dazzler,197,4
Deadpool,708,1
Death,25,0
Deathbird,33,4
Deathcry,5,3
Deathlok,86,0
Defenders,189,0
Demogoblin,5,1
Destiny,41,4
