label,title,x,y
8,3-D Man,-0.236501523,0.530285088
0,Absorbing Man,-0.13837782,0.269717489
2,Abyss,-0.014586866,-0.653900914
0,Adam Warlock,-0.212657605,0.10246906
3,Agents of Atlas,-0.394451142,0.49975372
5,Alicia Masters,0.384139147,-0.029978913
7,Alpha Flight,0.12644748,-0.073900638
0,Amadeus Cho,-0.077243196,0.231636646
2,Amiko,0.063114229,-0.690056609
8,Ancient One,0.41136012,0.119877663
8,Annihilus,0.174075347,0.108009392
2,Apocalypse,-0.040041872,-0.29182186
4,Arachne,0.518959017,0.529153206
2,Arcade,0.024382422,-0.490256956
8,Archangel,-0.097803629,-0.01039932
2,Arclight,-0.014586866,-0.653900914
3,Ares,-0.149468461,0.376853167
3,Armory,-0.528580512,0.44547547
7,Arnim Zola,-0.57111941,0.070460355
6,Aurora,0.098384884,-0.452756695
2,Avalanche,-0.168152658,-0.414493832
4,Avengers,0.147087778,0.426748565
2,Banshee,0.037540168,-0.406680964
8,Baron Strucker,0.193796045,-0.181671873
1,Baroness S'Bak,-0.885724011,-0.142365537
2,Bastion,-0.052867049,-0.565771719
2,Beast,-0.12422454,-0.222738612
5,Ben Grimm,0.371265243,0.03506243
4,Ben Urich,0.339579645,0.415790557
0,Beta-Ray Bill,0.028318787,0.163324447
4,Betty Brant,0.435534928,0.504743905
9,Beyonder,-0.563322525,0.25953907
6,Bishop,-0.006682908,-0.376701846
6,Black Bolt,-0.340056342,0.045349065
4,Black Cat,0.374756435,0.327641225
3,Black Panther,-0.16923669,0.413581981
4,Black Tarantula,0.488460108,0.425495833
2,Black Tom,0.048513143,-0.635910084
3,Black Widow,-0.195553035,0.393214481
8,Blade,0.306204132,0.147521289
6,Blastaar,0.062172215,-0.172034164
2,Blink,-0.039686644,-0.45056612
2,Blob,0.17667985,-0.372828475
2,Blockbuster,0.100097752,-0.579410019
8,Blue Marvel,0.067567332,0.167516709
9,"Bob, Agent of Hydra",-0.72555629,-0.120244314
9,Boom Boom,0.26672614,-0.401860428
2,Boomer,0.001242597,-0.569944305
4,Boomerang,0.317428844,0.337212396
2,Brood,-0.04947171,-0.531990311
9,Brother Voodoo,-0.409654454,0.193980544
8,Brute,0.383430904,0.009744551
1,Bug,0.660288767,-0.469593644
5,Bullseye,0.327525524,0.116626928
9,Bushwacker,0.067974795,0.461124994
5,Cable,0.182816671,0.036293175
